,cellName,cellMarker
242,Basal cell,FABP5P3
243,Basal cell,FAT2
244,Basal cell,FBLN1
245,Basal cell,FGFBP1
246,Basal cell,GJB3
247,Basal cell,GLTP
248,Basal cell,GM2A
249,Basal cell,GPC1
250,Basal cell,GPNMB
251,Basal cell,GPX2
252,Basal cell,HSPB1
253,Basal cell,IFI27L2
254,Basal cell,IGFBP6
255,Basal cell,IL20RB
256,Basal cell,ITGA6
257,Basal cell,JUP
258,Basal cell,KRT13
259,Basal cell,KRT15
260,Basal cell,KRT16
261,Basal cell,KRT17
262,Basal cell,KRT4
263,Basal cell,KRT6A
264,Basal cell,KRT6B
265,Basal cell,KRT6C
266,Basal cell,LAD1
267,Basal cell,LGALS7
268,Basal cell,LGALS7B
269,Basal cell,LOXL4
270,Basal cell,LY6D
271,Basal cell,LYPD3
272,Basal cell,MMP28
273,Basal cell,MT1X
274,Basal cell,NOTCH1
275,Basal cell,NRARP
276,Basal cell,NXN
277,Basal cell,PGM2
278,Basal cell,PHLDA3
279,Basal cell,PKP1
280,Basal cell,PKP3
281,Basal cell,PLAT
282,Basal cell,PLP2
283,Basal cell,POLR2J3
284,Basal cell,PPP1R13L
285,Basal cell,PTTG1
286,Basal cell,RAB38
287,Basal cell,RARG
288,Basal cell,S100A10
289,Basal cell,S100A14
290,Basal cell,S100A16
291,Basal cell,S100A2
292,Basal cell,S100A8
293,Basal cell,SDC1
294,Basal cell,SERPINB1
295,Basal cell,SERPINB13
296,Basal cell,SERPINB2
297,Basal cell,SERPINB5
298,Basal cell,SFN
299,Basal cell,SH3BGRL3
300,Basal cell,SOX15
301,Basal cell,SPINK5
302,Basal cell,SPRR1A
303,Basal cell,SPRR1B
304,Basal cell,TIMP1
305,Basal cell,TMEM43
306,Basal cell,TNS4
307,Basal cell,TRIM7
308,Basal cell,TUBB6
309,Basal cell,WNT10A
310,Basal cell,ZNF385A
311,Basal cell,ZYX
312,Secretory cell,ALDH1A3
313,Secretory cell,AMOTL2
314,Secretory cell,ANPEP
315,Secretory cell,ANTXR1
316,Secretory cell,C3
317,Secretory cell,CA13
318,Secretory cell,CAPN13
319,Secretory cell,CD74
320,Secretory cell,CFB
321,Secretory cell,CFH
322,Secretory cell,CILP
323,Secretory cell,CP
324,Secretory cell,CPD
325,Secretory cell,CREB3L1
326,Secretory cell,CTSC
327,Secretory cell,CX3CL1
328,Secretory cell,CXCL1
329,Secretory cell,CXCL2
330,Secretory cell,CXCL6
331,Secretory cell,CXCL8
332,Secretory cell,CYFIP2
333,Secretory cell,DTX4
334,Secretory cell,FNDC3B
335,Secretory cell,GABRP
336,Secretory cell,HLA-A
337,Secretory cell,HLA-DMA
338,Secretory cell,HLA-DMB
339,Secretory cell,HLA-DPA1
340,Secretory cell,HLA-DPB1
341,Secretory cell,HLA-DQA1
342,Secretory cell,HLA-DQA2
343,Secretory cell,HLA-DQB1
344,Secretory cell,HLA-DRA
345,Secretory cell,HLA-DRB1
346,Secretory cell,HLA-DRB5
347,Secretory cell,HLA-DRB6
348,Secretory cell,IFITM1
349,Secretory cell,IFITM3
350,Secretory cell,IL1R1
351,Secretory cell,KNCN
352,Secretory cell,LGALS9
353,Secretory cell,LYPD2
354,Secretory cell,MSMB
355,Secretory cell,NCCRP1
356,Secretory cell,PDZK1IP1
357,Secretory cell,PGLYRP4
358,Secretory cell,PI3
359,Secretory cell,PITX2
360,Secretory cell,PLK2
361,Secretory cell,PODXL
362,Secretory cell,PPP1R16B
363,Secretory cell,PRR5L
364,Secretory cell,PRSS23
365,Secretory cell,RARRES1
366,Secretory cell,SCGB3A1
367,Secretory cell,SERPINA3
368,Secretory cell,SERPINB7
369,Secretory cell,SLC26A2
370,Secretory cell,SLC4A4
371,Secretory cell,SLC6A14
372,Secretory cell,SLPI
373,Secretory cell,STEAP4
374,Secretory cell,TGM2
375,Secretory cell,TMEM45A
376,Secretory cell,UBD
377,Secretory cell,VGLL1
378,Secretory cell,VMO1
379,Secretory cell,XBP1
380,Secretory cell,ZG16B
381,Ciliated cell,ACAD11
382,Ciliated cell,AGBL5
383,Ciliated cell,AGR3
384,Ciliated cell,AHSA1
385,Ciliated cell,AK1
386,Ciliated cell,AKAP14
387,Ciliated cell,ALDH3A1
388,Ciliated cell,ALDH3B1
389,Ciliated cell,ALDH9A1
390,Ciliated cell,AMZ2
391,Ciliated cell,ANG
392,Ciliated cell,ANKRD37
393,Ciliated cell,ANKRD65
394,Ciliated cell,ANKRD66
395,Ciliated cell,AP3M2
396,Ciliated cell,APOBEC4
397,Ciliated cell,APOO
398,Ciliated cell,ARHGAP39
399,Ciliated cell,ARL3
400,Ciliated cell,ODAD2
401,Ciliated cell,ATF3
402,Ciliated cell,AZIN1
403,Ciliated cell,B3GNT7
404,Ciliated cell,B9D1
405,Ciliated cell,B9D2
406,Ciliated cell,BASP1
407,Ciliated cell,BBS9
408,Ciliated cell,BSCL2
409,Ciliated cell,BTBD3
410,Ciliated cell,C11orf49
411,Ciliated cell,C11orf52
412,Ciliated cell,HOATZ
413,Ciliated cell,C11orf97
414,Ciliated cell,C12orf75
415,Ciliated cell,DNAAF8
416,Ciliated cell,C17orf97
417,Ciliated cell,CFAP141
418,Ciliated cell,CFAP276
419,Ciliated cell,C20orf85
420,Ciliated cell,C2orf81
421,Ciliated cell,C4orf3
422,Ciliated cell,C5orf15
423,Ciliated cell,C5orf49
424,Ciliated cell,PIERCE1
425,Ciliated cell,CFAP95
426,Ciliated cell,C9orf24
427,Ciliated cell,CALM1
428,Ciliated cell,CALML4
429,Ciliated cell,CAPS
430,Ciliated cell,CAPSL
431,Ciliated cell,CARS1
432,Ciliated cell,DNAI7
433,Ciliated cell,CAST
434,Ciliated cell,CBY1
435,Ciliated cell,CCDC103
436,Ciliated cell,CCDC170
437,Ciliated cell,CCDC181
438,Ciliated cell,CCDC33
439,Ciliated cell,CCDC60
440,Ciliated cell,CCDC65
441,Ciliated cell,CCDC74B
442,Ciliated cell,CCDC81
443,Ciliated cell,CCL15
444,Ciliated cell,CD59
445,Ciliated cell,CETN2
446,Ciliated cell,CIB1
447,Ciliated cell,CKB
448,Ciliated cell,CST6
449,Ciliated cell,CTBS
450,Ciliated cell,CTF1
451,Ciliated cell,CTSS
452,Ciliated cell,CTXN1
453,Ciliated cell,CWH43
454,Ciliated cell,CYB561A3
455,Ciliated cell,CYGB
456,Ciliated cell,CYP4B1
457,Ciliated cell,CYSTM1
458,Ciliated cell,DALRD3
459,Ciliated cell,DAW1
460,Ciliated cell,DMKN
461,Ciliated cell,DNAAF3
462,Ciliated cell,DNAJB2
463,Ciliated cell,DNAL4
464,Ciliated cell,DNPH1
465,Ciliated cell,DPCD
466,Ciliated cell,DRC1
467,Ciliated cell,DYNC2LI1
468,Ciliated cell,DYNLL1
469,Ciliated cell,DYNLRB2
470,Ciliated cell,DYNLT1
471,Ciliated cell,EBNA1BP2
472,Ciliated cell,EEF2K
473,Ciliated cell,EFCAB10
474,Ciliated cell,EFHC2
475,Ciliated cell,ENDOG
476,Ciliated cell,ENKUR
477,Ciliated cell,ENPP5
478,Ciliated cell,ERF
479,Ciliated cell,ERICH2
480,Ciliated cell,ERICH5
481,Ciliated cell,EZR
482,Ciliated cell,FAM104B
483,Ciliated cell,FAM166B
484,Ciliated cell,FAM174A
485,Ciliated cell,FAM183A
486,Ciliated cell,FAM216B
487,Ciliated cell,FAM229B
488,Ciliated cell,FAM81B
489,Ciliated cell,CIBAR2
490,Ciliated cell,FBXO15
491,Ciliated cell,FBXW9
492,Ciliated cell,FOCAD
493,Ciliated cell,FUZ
494,Ciliated cell,FXYD3
495,Ciliated cell,GALC
496,Ciliated cell,GJA9-MYCBP
497,Ciliated cell,GPR162
498,Ciliated cell,GPX4
499,Ciliated cell,H2AJ
500,Ciliated cell,HBB
501,Ciliated cell,HIPK1
502,Ciliated cell,H1-2
503,Ciliated cell,H2BC5
504,Ciliated cell,H2AC18
505,Ciliated cell,H2AC19
506,Ciliated cell,HMGN3
507,Ciliated cell,HNRNPUL2-BSCL2
508,Ciliated cell,HS3ST6
509,Ciliated cell,HSP90AA1
510,Ciliated cell,HSPB2-C11orf52
511,Ciliated cell,HSPBP1
512,Ciliated cell,IFI27
513,Ciliated cell,IFT22
514,Ciliated cell,IFT43
515,Ciliated cell,IFT46
516,Ciliated cell,IFT52
517,Ciliated cell,IFT57
518,Ciliated cell,IGFBP7
519,Ciliated cell,IK
520,Ciliated cell,INO80B
521,Ciliated cell,IQCE
522,Ciliated cell,IQCG
523,Ciliated cell,IQCH
524,Ciliated cell,IQCK
525,Ciliated cell,ISCA2
526,Ciliated cell,JOSD2
527,Ciliated cell,KCNE1
528,Ciliated cell,KCNRG
529,Ciliated cell,KIF19
530,Ciliated cell,KIF9
531,Ciliated cell,KLHDC9
532,Ciliated cell,KLHL13
533,Ciliated cell,LAP3
534,Ciliated cell,LOC388780
535,Ciliated cell,LOC728392
536,Ciliated cell,LRRC10B
537,Ciliated cell,LRRC23
538,Ciliated cell,LRRC34
539,Ciliated cell,LRRC45
540,Ciliated cell,LRRC46
541,Ciliated cell,DNAAF11
542,Ciliated cell,LRRC73
543,Ciliated cell,LRWD1
544,Ciliated cell,LXN
545,Ciliated cell,LYPLA2
546,Ciliated cell,LYPLA2P2
547,Ciliated cell,MAPK8IP1
548,Ciliated cell,MAPRE3
549,Ciliated cell,MGMT
550,Ciliated cell,MIA
551,Ciliated cell,MLF1
552,Ciliated cell,MORN2
553,Ciliated cell,MORN5
554,Ciliated cell,MSRB1
555,Ciliated cell,MYCBP
556,Ciliated cell,NAT14
557,Ciliated cell,NHLRC4
558,Ciliated cell,NME5
559,Ciliated cell,NME7
560,Ciliated cell,NPHP3-ACAD11
561,Ciliated cell,NQO1
562,Ciliated cell,NSMCE1
563,Ciliated cell,ODF3B
564,Ciliated cell,ORMDL2
565,Ciliated cell,PACRG
566,Ciliated cell,PAIP2
567,Ciliated cell,PIFO
568,Ciliated cell,PIH1D2
569,Ciliated cell,DNAAF6
570,Ciliated cell,PITPNM1
571,Ciliated cell,PLAC8
572,Ciliated cell,PLEKHB1
573,Ciliated cell,PNMA1
574,Ciliated cell,POLR2I
575,Ciliated cell,PPIL6
576,Ciliated cell,PPP1R14C
577,Ciliated cell,PPP1R7
578,Ciliated cell,PRDX1
579,Ciliated cell,PRDX5
580,Ciliated cell,PRKAR1A
581,Ciliated cell,PRPS1
582,Ciliated cell,PSCA
583,Ciliated cell,PSENEN
584,Ciliated cell,PSMB10
585,Ciliated cell,RBKS
586,Ciliated cell,RHPN2
587,Ciliated cell,RIIAD1
588,Ciliated cell,RITA1
589,Ciliated cell,ROPN1L
590,Ciliated cell,RPA3
591,Ciliated cell,RRAD
592,Ciliated cell,RRAGA
593,Ciliated cell,RSPH1
594,Ciliated cell,RSPH4A
595,Ciliated cell,RTP4
596,Ciliated cell,RUVBL1
597,Ciliated cell,RUVBL2
598,Ciliated cell,SAA2
599,Ciliated cell,SAA2-SAA4
600,Ciliated cell,SAA3P
601,Ciliated cell,SAA4
602,Ciliated cell,SCGB2A1
603,Ciliated cell,SDHC
604,Ciliated cell,SLAIN2
605,Ciliated cell,SMIM22
606,Ciliated cell,SMYD2
607,Ciliated cell,SNTN
608,Ciliated cell,SOD1
609,Ciliated cell,SPA17
610,Ciliated cell,SPAG16
611,Ciliated cell,SPAG6
612,Ciliated cell,SPC25
613,Ciliated cell,SRI
614,Ciliated cell,SSB
615,Ciliated cell,STMND1
616,Ciliated cell,STOML3
617,Ciliated cell,STX2
618,Ciliated cell,STYXL1
619,Ciliated cell,DYNLT2B
620,Ciliated cell,DYNLT4
621,Ciliated cell,TCTN1
622,Ciliated cell,TEKT1
623,Ciliated cell,TM4SF19-DYNLT2B
624,Ciliated cell,TM9SF1
625,Ciliated cell,TMEM107
626,Ciliated cell,TMEM190
627,Ciliated cell,TMEM231
628,Ciliated cell,TMEM254
629,Ciliated cell,TOMM34
630,Ciliated cell,TP53TG1
631,Ciliated cell,TPPP
632,Ciliated cell,TPPP3
633,Ciliated cell,TRIM32
634,Ciliated cell,TSPAN1
635,Ciliated cell,TSPAN19
636,Ciliated cell,TSTD1
637,Ciliated cell,ODAD4
638,Ciliated cell,TUBA1A
639,Ciliated cell,TUBA4B
640,Ciliated cell,TUBB4B
641,Ciliated cell,UCP2
642,Ciliated cell,UFC1
643,Ciliated cell,UGDH
644,Ciliated cell,ULK4
645,Ciliated cell,UNC119B
646,Ciliated cell,VRK3
647,Ciliated cell,VWA3B
648,Ciliated cell,VWA5A
649,Ciliated cell,WDR38
650,Ciliated cell,WDR54
651,Ciliated cell,CFAP251
652,Ciliated cell,DNAI4
653,Ciliated cell,WDR86-AS1
654,Ciliated cell,ZBED5-AS1
655,Ciliated cell,ZDHHC1
656,Ciliated cell,ZMYND12
657,Ciliated cell,ZNF688
658,Ciliated cell,ZNHIT2
659,Brush cell (Tuft cell),ACADSB
660,Brush cell (Tuft cell),ACSL4
661,Brush cell (Tuft cell),ADA
662,Brush cell (Tuft cell),ADAM10
663,Brush cell (Tuft cell),AEN
664,Brush cell (Tuft cell),AFAP1
665,Brush cell (Tuft cell),AHCY
666,Brush cell (Tuft cell),ALPL
667,Brush cell (Tuft cell),ANXA1
668,Brush cell (Tuft cell),ANXA4
669,Brush cell (Tuft cell),ASCL1
670,Brush cell (Tuft cell),ASCL2
671,Brush cell (Tuft cell),ATP11C
672,Brush cell (Tuft cell),AZGP1
673,Brush cell (Tuft cell),CCNJ
674,Brush cell (Tuft cell),COLCA2
675,Brush cell (Tuft cell),CPE
676,Brush cell (Tuft cell),CRYM
677,Brush cell (Tuft cell),DIP2B
678,Brush cell (Tuft cell),EPB41L4A-AS1
679,Brush cell (Tuft cell),FAM117B
680,Brush cell (Tuft cell),FBRSL1
681,Brush cell (Tuft cell),FGF1
682,Brush cell (Tuft cell),FMNL2
683,Brush cell (Tuft cell),FOXK2
684,Brush cell (Tuft cell),FRAT2
685,Brush cell (Tuft cell),GRAMD1A
686,Brush cell (Tuft cell),GYS2
687,Brush cell (Tuft cell),HDAC2
688,Brush cell (Tuft cell),HES6
689,Brush cell (Tuft cell),HOMER3
690,Brush cell (Tuft cell),HOTAIRM1
691,Brush cell (Tuft cell),HOXA1
692,Brush cell (Tuft cell),HSPD1
693,Brush cell (Tuft cell),ID2
694,Brush cell (Tuft cell),IL1B
695,Brush cell (Tuft cell),IL23A
696,Brush cell (Tuft cell),INPP5B
697,Brush cell (Tuft cell),KCNN3
698,Brush cell (Tuft cell),KDM6B
699,Brush cell (Tuft cell),KYNU
700,Brush cell (Tuft cell),LFNG
701,Brush cell (Tuft cell),AQP5-AS1
702,Brush cell (Tuft cell),IRAG2
703,Brush cell (Tuft cell),MAFF
704,Brush cell (Tuft cell),MIAT
705,Brush cell (Tuft cell),MLLT11
706,Brush cell (Tuft cell),NAV1
707,Brush cell (Tuft cell),NDC1
708,Brush cell (Tuft cell),NFATC3
709,Brush cell (Tuft cell),NIFK
710,Brush cell (Tuft cell),NIP7
711,Brush cell (Tuft cell),NKX3-1
712,Brush cell (Tuft cell),NONO
713,Brush cell (Tuft cell),NOS2
714,Brush cell (Tuft cell),NREP
715,Brush cell (Tuft cell),ODC1
716,Brush cell (Tuft cell),PDXP
717,Brush cell (Tuft cell),POU2F3
718,Brush cell (Tuft cell),PPP1R14B
719,Brush cell (Tuft cell),PRDM1
720,Brush cell (Tuft cell),RAD51L3-RFFL
721,Brush cell (Tuft cell),RAPGEF5
722,Brush cell (Tuft cell),RASSF6
723,Brush cell (Tuft cell),RCOR1
724,Brush cell (Tuft cell),RFFL
725,Brush cell (Tuft cell),RNF183
726,Brush cell (Tuft cell),RTCB
727,Brush cell (Tuft cell),SH3BP4
728,Brush cell (Tuft cell),SKAP2
729,Brush cell (Tuft cell),SLC16A1
730,Brush cell (Tuft cell),SNHG1
731,Brush cell (Tuft cell),SORL1
732,Brush cell (Tuft cell),SOX4
733,Brush cell (Tuft cell),SPTSSB
734,Brush cell (Tuft cell),TMEM185B
735,Brush cell (Tuft cell),TOMM20
736,Brush cell (Tuft cell),TSN
737,Brush cell (Tuft cell),TUBB2B
738,Brush cell (Tuft cell),TUBB3
739,Brush cell (Tuft cell),XPO5
740,Brush cell (Tuft cell),YBX1
741,Ionocyte cell,ACADS
742,Ionocyte cell,ACP1
743,Ionocyte cell,ACSL1
744,Ionocyte cell,ACVR1
745,Ionocyte cell,ADM
746,Ionocyte cell,AGPAT2
747,Ionocyte cell,AIFM1
748,Ionocyte cell,AKAP7
749,Ionocyte cell,AKIP1
750,Ionocyte cell,AKIRIN1
751,Ionocyte cell,AKR1B1
752,Ionocyte cell,AMACR
753,Ionocyte cell,ANGEL2
754,Ionocyte cell,ANK2
755,Ionocyte cell,ANKRD6
756,Ionocyte cell,ANKRD9
757,Ionocyte cell,APLP2
758,Ionocyte cell,APP
759,Ionocyte cell,ARL4A
760,Ionocyte cell,ARL6IP5
761,Ionocyte cell,ASCL3
762,Ionocyte cell,ATL2
763,Ionocyte cell,ATP11A
764,Ionocyte cell,ATP1A1
765,Ionocyte cell,ATP6V0A4
766,Ionocyte cell,ATP6V0B
767,Ionocyte cell,ATP6V0C
768,Ionocyte cell,ATP6V0CP3
769,Ionocyte cell,ATP6V0D2
770,Ionocyte cell,ATP6V1A
771,Ionocyte cell,ATP6V1B1
772,Ionocyte cell,ATP6V1C2
773,Ionocyte cell,ATP6V1F
774,Ionocyte cell,ATP6V1G3
775,Ionocyte cell,ATP7A
776,Ionocyte cell,AXIN1
777,Ionocyte cell,BCL2
778,Ionocyte cell,BCOR
779,Ionocyte cell,BCR
780,Ionocyte cell,BFAR
781,Ionocyte cell,BIK
782,Ionocyte cell,BMF
783,Ionocyte cell,BPIFA2
784,Ionocyte cell,BRPF1
785,Ionocyte cell,BSND
786,Ionocyte cell,C11orf68
787,Ionocyte cell,C1D
788,Ionocyte cell,C1QTNF3-AMACR
789,Ionocyte cell,C9orf152
790,Ionocyte cell,CA12
791,Ionocyte cell,CALML3
792,Ionocyte cell,CAMK2B
793,Ionocyte cell,CBR3
794,Ionocyte cell,CCDC107
795,Ionocyte cell,CCDC85C
796,Ionocyte cell,CCNJL
797,Ionocyte cell,CD164
798,Ionocyte cell,CDA
799,Ionocyte cell,CDKN1B
800,Ionocyte cell,CELF2
801,Ionocyte cell,CFTR
802,Ionocyte cell,CGNL1
803,Ionocyte cell,CHST15
804,Ionocyte cell,CLCN3
805,Ionocyte cell,CLCNKA
806,Ionocyte cell,CLCNKB
807,Ionocyte cell,CLGN
808,Ionocyte cell,CMAHP
809,Ionocyte cell,CNN3
810,Ionocyte cell,CORO7
811,Ionocyte cell,COX5B
812,Ionocyte cell,COX6B2
813,Ionocyte cell,COX7B
814,Ionocyte cell,CSPG5
815,Ionocyte cell,CYP51A1
816,Ionocyte cell,DARS1
817,Ionocyte cell,DDAH2
818,Ionocyte cell,DHRS7
819,Ionocyte cell,DMRT2
820,Ionocyte cell,DOCK11
821,Ionocyte cell,DOCK4
822,Ionocyte cell,DOCK6
823,Ionocyte cell,DUSP6
824,Ionocyte cell,EFHD1
825,Ionocyte cell,EIF2AK3
826,Ionocyte cell,EIF4E2
827,Ionocyte cell,ETS1
828,Ionocyte cell,FAM114A1
829,Ionocyte cell,FAM120AOS
830,Ionocyte cell,FAM174B
831,Ionocyte cell,FAM210B
832,Ionocyte cell,FAM43A
833,Ionocyte cell,FAM89B
834,Ionocyte cell,FASTKD2
835,Ionocyte cell,FBXO32
836,Ionocyte cell,CEP20
837,Ionocyte cell,FOXI1
838,Ionocyte cell,FOXP1
839,Ionocyte cell,FRYL
840,Ionocyte cell,FXYD2
841,Ionocyte cell,FXYD6
842,Ionocyte cell,FXYD6-FXYD2
843,Ionocyte cell,GABARAPL1
844,Ionocyte cell,GADD45G
845,Ionocyte cell,GLIDR
846,Ionocyte cell,GNA11
847,Ionocyte cell,GOLM1
848,Ionocyte cell,GPD1L
849,Ionocyte cell,GPR160
850,Ionocyte cell,GPRC5B
851,Ionocyte cell,GRPEL2
852,Ionocyte cell,GYG1
853,Ionocyte cell,H1-0
854,Ionocyte cell,H3-3B
855,Ionocyte cell,HDAC4
856,Ionocyte cell,HEPACAM2
857,Ionocyte cell,HILPDA
858,Ionocyte cell,HPCAL1
859,Ionocyte cell,ID3
860,Ionocyte cell,ID4
861,Ionocyte cell,IGF1
